month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	1.03606	0.37239	0.26070	0.30589	0.00041	29.33773
2	0.69909	0.34002	0.24906	0.30053	0.00035	36.13689
3	0.97797	0.38879	0.26508	0.30344	0.00049	31.78279
4	2.28935	0.40897	0.26940	0.30729	0.00049	39.01335
5	4.75610	0.47393	0.31149	0.35029	0.00067	42.95323
6	6.65683	0.34499	0.26590	0.29557	0.00041	27.05950
7	8.26045	0.33836	0.28754	0.29283	0.00045	24.84526
8	9.62906	0.37358	0.33852	0.31609	0.00051	32.29603
9	8.13316	0.30666	0.28620	0.31575	0.00049	25.33270
10	5.42415	0.32648	0.27967	0.31990	0.00044	25.72831
11	0.68982	0.28384	0.22100	0.26208	0.00048	18.70377
12	1.03972	0.39523	0.25738	0.30751	0.00042	28.20555
