month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	1.20404	0.47777	0.34009	0.40462	0.00049	33.62843
2	0.85793	0.44155	0.32794	0.39947	0.00043	40.65264
3	1.14424	0.49117	0.34292	0.39828	0.00058	36.44839
4	2.56471	0.51818	0.34632	0.40155	0.00058	44.61458
5	5.14630	0.58616	0.39380	0.45041	0.00077	49.01042
6	7.35424	0.44469	0.33969	0.38335	0.00050	32.80730
7	8.98832	0.43934	0.36543	0.38214	0.00054	30.30685
8	10.45095	0.47750	0.42260	0.41201	0.00061	38.20695
9	8.81730	0.40060	0.36091	0.40347	0.00058	30.67900
10	5.84850	0.42449	0.35675	0.41363	0.00053	30.83610
11	0.83655	0.37627	0.29260	0.34805	0.00057	22.43747
12	1.23630	0.49711	0.33300	0.40496	0.00050	32.60860
