month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	2.69514	0.59721	0.45703	0.54025	0.00061	44.05503
2	1.91879	0.55697	0.43898	0.52401	0.00054	49.18616
3	2.39776	0.61796	0.45972	0.52502	0.00074	48.15995
4	5.01284	0.63766	0.46471	0.53757	0.00072	56.48273
5	10.05677	0.72806	0.52557	0.59922	0.00094	60.93501
6	14.21178	0.55891	0.46202	0.52213	0.00063	42.53474
7	16.12309	0.55114	0.48607	0.51002	0.00068	39.81513
8	19.29896	0.60839	0.57854	0.54744	0.00075	51.07089
9	15.27181	0.50851	0.49049	0.54124	0.00072	40.54504
10	12.17684	0.53488	0.48478	0.55299	0.00064	41.47685
11	2.31814	0.47413	0.39604	0.46723	0.00070	31.93350
12	2.36818	0.61290	0.45901	0.53920	0.00063	42.11277
