month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	-0.14562	-0.15527	-0.10785	-0.14854	-0.00010	-4.55627
2	-0.13802	-0.14774	-0.10974	-0.14823	-0.00010	-5.66691
3	-0.15554	-0.14503	-0.09942	-0.13138	-0.00009	-5.59451
4	-0.30780	-0.09890	-0.09660	-0.12666	-0.00011	-6.32248
5	-0.34344	-0.10493	-0.10207	-0.13014	-0.00012	-6.38966
6	-0.68029	-0.11341	-0.08578	-0.11642	-0.00012	-5.85582
7	-0.70198	-0.12977	-0.10417	-0.13313	-0.00011	-5.60071
8	-0.83704	-0.14987	-0.10049	-0.12663	-0.00012	-5.64571
9	-0.71079	-0.14169	-0.09032	-0.10967	-0.00010	-4.97134
10	-0.44669	-0.13220	-0.09529	-0.12850	-0.00010	-5.13841
11	-0.13267	-0.15741	-0.09939	-0.14348	-0.00011	-4.39996
12	-0.20593	-0.17327	-0.10164	-0.13810	-0.00010	-4.01181
