month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	0.02235	-0.04990	-0.02846	-0.04981	-0.00001	-0.26556
2	0.02082	-0.04621	-0.03086	-0.04929	-0.00003	-1.15115
3	0.01073	-0.04265	-0.02158	-0.03655	-0.00001	-0.92892
4	-0.03244	0.01031	-0.01968	-0.03240	-0.00002	-0.72124
5	0.04676	0.00730	-0.01976	-0.03002	-0.00002	-0.33247
6	0.01713	-0.01371	-0.01199	-0.02865	-0.00003	-0.10802
7	0.02589	-0.02879	-0.02627	-0.04382	-0.00002	-0.13912
8	-0.01515	-0.04595	-0.01642	-0.03070	-0.00002	0.26521
9	-0.02665	-0.04775	-0.01561	-0.02195	-0.00001	0.37495
10	-0.02234	-0.03418	-0.01821	-0.03477	-0.00001	-0.03062
11	0.01406	-0.06498	-0.02779	-0.05751	-0.00002	-0.66626
12	-0.00934	-0.07138	-0.02602	-0.04065	-0.00002	0.39124
