month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	1.18169	0.52767	0.36855	0.45443	0.00050	33.89399
2	0.83711	0.48776	0.35879	0.44875	0.00045	41.80379
3	1.13351	0.53382	0.36450	0.43482	0.00059	37.37730
4	2.59715	0.50787	0.36600	0.43395	0.00060	45.33583
5	5.09954	0.57886	0.41356	0.48043	0.00079	49.34289
6	7.33712	0.45840	0.35168	0.41200	0.00053	32.91532
7	8.96244	0.46813	0.39170	0.42596	0.00056	30.44597
8	10.46609	0.52345	0.43902	0.44272	0.00062	37.94174
9	8.84395	0.44835	0.37652	0.42542	0.00059	30.30404
10	5.87084	0.45867	0.37496	0.44840	0.00054	30.86672
11	0.82249	0.44125	0.32039	0.40557	0.00059	23.10374
12	1.24565	0.56849	0.35902	0.44561	0.00053	32.21736
