month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	2.67515	0.66120	0.49218	0.59900	0.00063	44.46940
2	1.90804	0.61633	0.47835	0.58896	0.00057	50.37101
3	2.37570	0.67476	0.48715	0.56811	0.00075	49.33946
4	5.06734	0.63496	0.49002	0.57579	0.00074	57.36680
5	9.99189	0.72435	0.55138	0.63513	0.00096	61.26095
6	14.12828	0.57838	0.47857	0.55827	0.00067	42.67059
7	16.07666	0.59060	0.51775	0.56676	0.00071	40.03418
8	19.26051	0.66585	0.59917	0.58555	0.00078	50.66713
9	15.32295	0.57079	0.50829	0.56922	0.00073	40.13169
10	12.18525	0.57692	0.50701	0.59440	0.00066	41.61172
11	2.30995	0.55927	0.43335	0.53765	0.00073	32.81964
12	2.39633	0.70093	0.48877	0.58917	0.00066	42.03525
