month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	1.91688	0.24690	0.46040	0.51079	0.00027	33.16922
2	1.67736	0.22964	0.43018	0.49005	0.00027	39.06643
3	1.69420	0.25551	0.45620	0.54410	0.00036	37.12017
4	2.39255	0.25373	0.43024	0.58907	0.00038	41.82242
5	3.52223	0.32719	0.52946	0.59262	0.00049	44.05520
6	5.59947	0.25260	0.50593	0.64533	0.00033	24.71350
7	5.01941	0.21064	0.50960	0.55521	0.00031	19.85214
8	6.47078	0.25006	0.67210	0.69488	0.00039	25.97210
9	6.44453	0.21946	0.57063	0.70720	0.00040	22.20483
10	6.08814	0.21965	0.52516	0.61960	0.00040	28.29046
11	1.28703	0.19969	0.40615	0.47059	0.00038	21.46073
12	2.02805	0.28782	0.45958	0.57153	0.00034	29.83589
