month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	2.18662	0.30334	0.52656	0.59428	0.00032	36.97623
2	1.91127	0.28412	0.49437	0.57233	0.00032	43.04669
3	1.90978	0.30991	0.51892	0.62443	0.00041	41.08862
4	2.61786	0.30971	0.49082	0.66925	0.00044	46.00247
5	3.80289	0.38530	0.59407	0.67576	0.00055	48.43347
6	6.06833	0.30739	0.57046	0.72958	0.00039	28.80770
7	5.44562	0.26352	0.57611	0.63798	0.00037	23.43322
8	6.95444	0.30625	0.74287	0.78347	0.00046	29.77874
9	6.94801	0.27256	0.63804	0.79208	0.00046	25.86115
10	6.53219	0.27367	0.59242	0.70493	0.00046	32.35923
11	1.48441	0.25002	0.46718	0.54643	0.00044	24.71034
12	2.29481	0.34278	0.52257	0.65356	0.00039	33.57724
