month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	5.20624	0.40034	0.71204	0.80330	0.00042	46.68264
2	4.64030	0.37665	0.66689	0.78089	0.00041	53.29317
3	4.37250	0.42398	0.69599	0.83175	0.00054	52.50120
4	5.82795	0.41126	0.65292	0.88874	0.00056	57.44855
5	8.67986	0.49396	0.78054	0.89139	0.00070	59.91182
6	12.88367	0.39585	0.75946	0.96970	0.00050	37.25606
7	10.81179	0.35609	0.72923	0.84396	0.00048	31.74168
8	15.54118	0.41299	0.97101	1.01973	0.00058	42.10388
9	13.01400	0.35427	0.85038	1.03808	0.00058	34.40625
10	13.95435	0.36183	0.80864	0.96414	0.00056	43.00256
11	3.88046	0.32577	0.62622	0.72824	0.00055	34.07616
12	5.30343	0.43705	0.69974	0.86795	0.00049	42.39860
