month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	-0.26154	-0.07618	-0.07394	-0.10258	-0.00006	-4.11610
2	-0.24006	-0.08685	-0.06833	-0.09361	-0.00006	-4.62198
3	-0.20213	-0.06832	-0.05725	-0.10172	-0.00006	-4.46922
4	-0.21168	-0.05902	-0.06660	-0.09409	-0.00007	-4.54542
5	-0.23791	-0.07068	-0.07424	-0.09509	-0.00007	-4.47122
6	-0.43863	-0.06894	-0.07587	-0.08092	-0.00006	-3.94400
7	-0.42683	-0.06318	-0.07308	-0.08727	-0.00006	-3.51278
8	-0.47722	-0.07551	-0.07670	-0.09413	-0.00007	-3.78613
9	-0.47648	-0.07147	-0.06574	-0.08230	-0.00006	-3.39279
10	-0.43755	-0.06270	-0.06603	-0.09555	-0.00006	-3.99850
11	-0.19184	-0.05128	-0.06532	-0.09189	-0.00006	-3.46960
12	-0.25263	-0.07281	-0.06855	-0.08375	-0.00006	-3.26832
