month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	0.00820	-0.01975	-0.00778	-0.01909	-0.00001	-0.30908
2	-0.00615	-0.03236	-0.00414	-0.01132	-0.00001	-0.64172
3	0.01345	-0.01391	0.00547	-0.02139	-0.00001	-0.50077
4	0.01363	-0.00304	-0.00602	-0.01390	-0.00001	-0.36537
5	0.04276	-0.01257	-0.00963	-0.01195	-0.00001	-0.09294
6	0.03023	-0.01415	-0.01134	0.00333	-0.00001	0.15020
7	-0.00062	-0.01030	-0.00657	-0.00450	-0.00001	0.06830
8	0.00644	-0.01933	-0.00592	-0.00555	-0.00001	0.02051
9	0.02700	-0.01837	0.00166	0.00258	0.00000	0.26353
10	0.00649	-0.00868	0.00123	-0.01022	-0.00000	0.07027
11	0.00554	-0.00095	-0.00430	-0.01605	-0.00000	-0.21999
12	0.01413	-0.01785	-0.00556	-0.00172	-0.00001	0.47303
