month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	0.03310	-0.03338	-0.00736	-0.01482	-0.00001	-0.31267
2	0.01213	-0.04309	-0.00182	-0.01266	-0.00001	-0.81891
3	0.02066	-0.02666	0.00765	-0.01634	-0.00001	-0.45651
4	0.02044	-0.00469	-0.00657	-0.01419	-0.00001	-0.35725
5	0.06695	-0.00949	-0.00977	-0.01229	-0.00001	-0.05184
6	0.05619	-0.01583	-0.01149	0.00799	-0.00001	0.00456
7	-0.00460	-0.01679	-0.00719	-0.00431	-0.00001	0.02436
8	0.00601	-0.02802	-0.00319	-0.00320	-0.00002	-0.08014
9	-0.01116	-0.02711	0.00346	0.00584	-0.00000	0.29364
10	0.00946	-0.01587	0.00496	-0.00779	-0.00001	0.16340
11	0.00796	-0.01867	-0.00364	-0.01535	-0.00001	-0.11351
12	0.03644	-0.03197	-0.00409	-0.00044	-0.00001	0.47612
