month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	2.17842	0.32308	0.53435	0.61337	0.00033	37.28531
2	1.91743	0.31648	0.49851	0.58366	0.00033	43.68841
3	1.89633	0.32383	0.51344	0.64582	0.00041	41.58939
4	2.60423	0.31275	0.49684	0.68316	0.00045	46.36784
5	3.76013	0.39787	0.60370	0.68771	0.00056	48.52641
6	6.03810	0.32154	0.58180	0.72625	0.00040	28.65750
7	5.44624	0.27382	0.58268	0.64249	0.00037	23.36492
8	6.94801	0.32557	0.74879	0.78902	0.00047	29.75823
9	6.92101	0.29093	0.63637	0.78950	0.00046	25.59762
10	6.52570	0.28235	0.59119	0.71515	0.00046	32.28896
11	1.47887	0.25097	0.47148	0.56248	0.00044	24.93033
12	2.28068	0.36063	0.52813	0.65528	0.00040	33.10421
