month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	5.17314	0.43372	0.71940	0.81812	0.00043	46.99531
2	4.62817	0.41974	0.66872	0.79354	0.00042	54.11208
3	4.35184	0.45064	0.68834	0.84809	0.00055	52.95771
4	5.80750	0.41595	0.65949	0.90293	0.00057	57.80580
5	8.61291	0.50344	0.79030	0.90368	0.00071	59.96366
6	12.82748	0.41167	0.77095	0.96172	0.00051	37.25150
7	10.81638	0.37288	0.73642	0.84827	0.00049	31.71732
8	15.53518	0.44101	0.97420	1.02293	0.00060	42.18402
9	13.02516	0.38138	0.84692	1.03224	0.00058	34.11261
10	13.94490	0.37770	0.80368	0.97193	0.00056	42.83915
11	3.87249	0.34444	0.62986	0.74359	0.00056	34.18967
12	5.26699	0.46903	0.70383	0.86839	0.00051	41.92248
